7 Days Ago,Year Ago EPS,Up Last 7 Days,Down Last 30 Days,header,EPS Actual,EPS Est,Surprise %,Next Year,Low Estimate,Price/Earnings (avg. for comparison categories),section,Year Ago Sales,Past 5 Years (per annum),30 Days Ago,Current Estimate,Difference,Sales Growth (year/est),This Year,symbol,Avg. Estimate,90 Days Ago,60 Days Ago,No. of Analysts,Down Last 90 Days,Next Qtr.,Up Last 30 Days,PEG Ratio (avg. for comparison categories),High Estimate,Current Qtr.,Next 5 Years (per annum)
,,,,Next Year Jun 15,,,,,,,EPS Trends,,,2.80,,,,,COH,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,,,,,COH,,,0.70,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,,,,,COH,,,0.78,,,,,,,,
,,,,Current Year Jun 14,,,,,,,EPS Trends,,,,,,,,COH,,,3.14,,,,,,,,
,,,,Next Year Jun 15,,,,,,,EPS Trends,,,,,,,,COH,,,3.39,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,,,,,COH,,0.70,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,,,,,COH,,0.78,,,,,,,,,
,,,,Current Year Jun 14,,,,,,,EPS Trends,,,,,,,,COH,,3.14,,,,,,,,,
,,,,Next Year Jun 15,,,,,,,EPS Trends,,,,,,,,COH,,3.40,,,,,,,,,
,,1,,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,COH,,,,,,,,,,,
,,0,,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,COH,,,,,,,,,,,
,,1,,Current Year Jun 14,,,,,,,EPS Revisions,,,,,,,,COH,,,,,,,,,,,
,,0,,Next Year Jun 15,,,,,,,EPS Revisions,,,,,,,,COH,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,COH,,,,,,,1,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,COH,,,,,,,0,,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,,AAPL,,,,,,,,,,,17.23%
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,AAPL,,,,,,,,,,,9.74%
,,,,AAPL,,,,,,14.41,Growth Est,,,,,,,,AAPL,,,,,,,,,,,
,,,,Industry,,,,,,28.12,Growth Est,,,,,,,,AAPL,,,,,,,,,,,
,,,,Sector,,,,,,14.61,Growth Est,,,,,,,,AAPL,,,,,,,,,,,
,,,,S&P 500,,,,,,19.13,Growth Est,,,,,,,,AAPL,,,,,,,,,,,
,,,,AAPL,,,,,,,Growth Est,,,,,,,,AAPL,,,,,,,,0.94,,,
,,,,Sector,,,,19.90%,,,Growth Est,,,,,,,,MCD,,,,,,,,,,,
,,,,S&P 500,,,,12.20%,,,Growth Est,,,,,,,,MCD,,,,,,,,,,,
,,,,MCD,,,,,,,Growth Est,,7.81%,,,,,,MCD,,,,,,,,,,,
,,,,Industry,,,,,,,Growth Est,,N/A,,,,,,MCD,,,,,,,,,,,
,,,,Sector,,,,,,,Growth Est,,N/A,,,,,,MCD,,,,,,,,,,,
,,,,S&P 500,,,,,,,Growth Est,,N/A,,,,,,MCD,,,,,,,,,,,
,,,,MCD,,,,,,,Growth Est,,,,,,,,MCD,,,,,,,,,,,7.63%
,,,,Industry,,,,,,,Growth Est,,,,,,,,MCD,,,,,,,,,,,14.18%
,,,,Sector,,,,,,,Growth Est,,,,,,,,MCD,,,,,,,,,,,15.35%
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,MCD,,,,,,,,,,,9.74%
,,,,MCD,,,,,,17.69,Growth Est,,,,,,,,MCD,,,,,,,,,,,
,,,,Industry,,,,,,15.85,Growth Est,,,,,,,,MCD,,,,,,,,,,,
,,,,Sector,,,,,,31.61,Growth Est,,,,,,,,MCD,,,,,,,,,,,
,,,,Industry,,,,22.10%,,,Growth Est,,,,,,,,YELP,,,,,,,,,,,
,,,,Sector,,,,25.00%,,,Growth Est,,,,,,,,YELP,,,,,,,,,,,
,,,,S&P 500,,,,12.20%,,,Growth Est,,,,,,,,YELP,,,,,,,,,,,
,,,,YELP,,,,,,,Growth Est,,0.00%,,,,,,YELP,,,,,,,,,,,
,,,,Industry,,,,,,,Growth Est,,N/A,,,,,,YELP,,,,,,,,,,,
,,,,Sector,,,,,,,Growth Est,,N/A,,,,,,YELP,,,,,,,,,,,
,,,,S&P 500,,,,,,,Growth Est,,N/A,,,,,,YELP,,,,,,,,,,,
,,,,YELP,,,,,,,Growth Est,,,,,,,,YELP,,,,,,,,,,,72.10%
,,,,Industry,,,,,,,Growth Est,,,,,,,,YELP,,,,,,,,,,,19.09%
,,,,Sector,,,,,,,Growth Est,,,,,,,,YELP,,,,,,,,,,,17.23%
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,YELP,,,,,,,,,,,9.74%
,,,,YELP,,,,,,"-2,497.67",Growth Est,,,,,,,,YELP,,,,,,,,,,,
,,,,Industry,,,,,,2.72,Growth Est,,,,,,,,YELP,,,,,,,,,,,
,,,,Sector,,,,,,14.61,Growth Est,,,,,,,,YELP,,,,,,,,,,,
,,,,S&P 500,,,,,,19.13,Growth Est,,,,,,,,YELP,,,,,,,,,,,
,,,,YELP,,,,,,,Growth Est,,,,,,,,YELP,,,,,,,,-34.64,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,,YELP,,,,,,,,1.10,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,,YELP,,,,,,,,1.30,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,YELP,,,,,,,,3.81,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,JCP,,,,,,,,,,12.30%,
,,,,JCP,,,,,,,Growth Est,,,,,,,,JCP,,,,,,54.60%,,,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,,JCP,,,,,,65.70%,,,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,,JCP,,,,,,67.00%,,,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,JCP,,,,,,16.70%,,,,,
,,,,JCP,,,,,,,Growth Est,,,,,,,54.30%,JCP,,,,,,,,,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,14.50%,JCP,,,,,,,,,,,
,,,,Current Year Jun 14,,,,,,,EPS Revisions,,,,,,,,COH,,,,,,,1,,,,
,,,,Next Year Jun 15,,,,,,,EPS Revisions,,,,,,,,COH,,,,,,,0,,,,
,,,5,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,COH,,,,,,,,,,,
,,,15,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,COH,,,,,,,,,,,
,,,6,Current Year Jun 14,,,,,,,EPS Revisions,,,,,,,,COH,,,,,,,,,,,
,,,24,Next Year Jun 15,,,,,,,EPS Revisions,,,,,,,,COH,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,COH,,,,,N/A,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,COH,,,,,N/A,,,,,,
,,,,Current Year Jun 14,,,,,,,EPS Revisions,,,,,,,,COH,,,,,N/A,,,,,,
,,,,Next Year Jun 15,,,,,,,EPS Revisions,,,,,,,,COH,,,,,N/A,,,,,,
,,,,COH,,,,,,,Growth Est,,,,,,,,COH,,,,,,,,,,-40.40%,
,,,,Industry,,,,,,,Growth Est,,,,,,,,COH,,,,,,,,,,1.50%,
,,,,Sector,,,,,,,Growth Est,,,,,,,,COH,,,,,,,,,,58.60%,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,COH,,,,,,,,,,12.30%,
,,,,COH,,,,,,,Growth Est,,,,,,,,COH,,,,,,-35.10%,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,MSFT,0.61,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,MSFT,0.64,,,,,,,,,,
,,,,Current Year Jun 14,,,,,,,Earnings Est,,,,,,,,MSFT,2.70,,,,,,,,,,
,,,,Next Year Jun 15,,,,,,,Earnings Est,,,,,,,,MSFT,2.87,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,MSFT,,,,14.00,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,MSFT,,,,15.00,,,,,,,
,,,,Current Year Jun 14,,,,,,,Earnings Est,,,,,,,,MSFT,,,,19.00,,,,,,,
,,,,Next Year Jun 15,,,,,,,Earnings Est,,,,,,,,MSFT,,,,21.00,,,,,,,
,,,,Current Qtr. Jun 14,,,,,0.53,,Earnings Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,0.49,,Earnings Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,Current Year Jun 14,,,,,2.61,,Earnings Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,Next Year Jun 15,,,,,2.64,,Earnings Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,MSFT,,,,,,,,,0.65,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,MSFT,,,,,,,,,0.73,,
,,,,Current Year Jun 14,,,,,,,Earnings Est,,,,,,,,MSFT,,,,,,,,,2.76,,
,,,,Next Year Jun 15,,,,,,,Earnings Est,,,,,,,,MSFT,,,,,,,,,3.18,,
,0.66,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,MSFT,,,,,,,,,,,
,0.62,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,MSFT,,,,,,,,,,,
,2.65,,,Current Year Jun 14,,,,,,,Earnings Est,,,,,,,,MSFT,,,,,,,,,,,
,2.70,,,Next Year Jun 15,,,,,,,Earnings Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,,,MSFT,23.12B,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,,,MSFT,23.07B,,,,,,,,,,
,,,,Current Year Jun 14,,,,,,,Revenue Est,,,,,,,,MSFT,86.25B,,,,,,,,,,
,,,,Next Year Jun 15,,,,,,,Revenue Est,,,,,,,,MSFT,100.58B,,,,,,,,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,,AAPL,,,,,,,,2.25,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,,AAPL,,,,,,,,1.30,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,AAPL,,,,,,,,3.81,,,
,,,,S&P 500,,,,,,19.13,Growth Est,,,,,,,,MCD,,,,,,,,,,,
,,,,MCD,,,,,,,Growth Est,,,,,,,,MCD,,,,,,,,2.32,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,,MCD,,,,,,,,4.50,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,,MCD,,,,,,,,3.20,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,MCD,,,,,,,,3.81,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,4.40%,JCP,,,,,,,,,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,7.70%,JCP,,,,,,,,,,,
,,,,JCP,,,,52.30%,,,Growth Est,,,,,,,,JCP,,,,,,,,,,,
,,,,Industry,,,,22.40%,,,Growth Est,,,,,,,,JCP,,,,,,,,,,,
,,,,Sector,,,,19.90%,,,Growth Est,,,,,,,,JCP,,,,,,,,,,,
,,,,S&P 500,,,,12.20%,,,Growth Est,,,,,,,,JCP,,,,,,,,,,,
,,,,JCP,,,,,,,Growth Est,,-15.09%,,,,,,JCP,,,,,,,,,,,
,,,,Industry,,,,,,,Growth Est,,N/A,,,,,,JCP,,,,,,,,,,,
,,,,Sector,,,,,,,Growth Est,,N/A,,,,,,JCP,,,,,,,,,,,
,,,,S&P 500,,,,,,,Growth Est,,N/A,,,,,,JCP,,,,,,,,,,,
,,,,JCP,,,,,,,Growth Est,,,,,,,,JCP,,,,,,,,,,,-28.00%
,,,,Industry,,,,,,,Growth Est,,,,,,,,JCP,,,,,,,,,,,13.25%
,,,,Sector,,,,,,,Growth Est,,,,,,,,JCP,,,,,,,,,,,15.35%
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,JCP,,,,,,,,,,,9.74%
,,,,JCP,,,,,,-3.24,Growth Est,,,,,,,,JCP,,,,,,,,,,,
,,,,Industry,,,,,,35.46,Growth Est,,,,,,,,JCP,,,,,,,,,,,
,,,,Sector,,,,,,31.61,Growth Est,,,,,,,,JCP,,,,,,,,,,,
,,,,S&P 500,,,,,,19.13,Growth Est,,,,,,,,JCP,,,,,,,,,,,
,,,,JCP,,,,,,,Growth Est,,,,,,,,JCP,,,,,,,,0.12,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,,JCP,,,,,,,,2.45,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,,JCP,,,,,,,,3.20,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,,COH,,,,,,41.50%,,,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,,COH,,,,,,71.60%,,,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,COH,,,,,,16.70%,,,,,
,,,,COH,,,,,,,Growth Est,,,,,,,-18.50%,COH,,,,,,,,,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,6.00%,COH,,,,,,,,,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,15.00%,COH,,,,,,,,,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,7.70%,COH,,,,,,,,,,,
,,,,COH,,,,-28.00%,,,Growth Est,,,,,,,,COH,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,,,MSFT,,,,11,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,,,MSFT,,,,12,,,,,,,
,,,,Current Year Jun 14,,,,,,,Revenue Est,,,,,,,,MSFT,,,,15,,,,,,,
,,,,Next Year Jun 15,,,,,,,Revenue Est,,,,,,,,MSFT,,,,18,,,,,,,
,,,,Current Qtr. Jun 14,,,,,22.26B,,Revenue Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,21.49B,,Revenue Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,Current Year Jun 14,,,,,84.06B,,Revenue Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,Next Year Jun 15,,,,,88.26B,,Revenue Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,,,MSFT,,,,,,,,,24.37B,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,,,MSFT,,,,,,,,,24.97B,,
,,,,Current Year Jun 14,,,,,,,Revenue Est,,,,,,,,MSFT,,,,,,,,,87.82B,,
,,,,Next Year Jun 15,,,,,,,Revenue Est,,,,,,,,MSFT,,,,,,,,,107.01B,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,19.93B,,,,,,,MSFT,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,18.53B,,,,,,,MSFT,,,,,,,,,,,
,,,,Current Year Jun 14,,,,,,,Revenue Est,77.89B,,,,,,,MSFT,,,,,,,,,,,
,,,,Next Year Jun 15,,,,,,,Revenue Est,86.25B,,,,,,,MSFT,,,,,,,,,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,JCP,,,,,,,,3.81,,,
,,,,Industry,,,,17.10%,,,Growth Est,,,,,,,,COH,,,,,,,,,,,
,,,,Sector,,,,10.70%,,,Growth Est,,,,,,,,COH,,,,,,,,,,,
,,,,S&P 500,,,,12.20%,,,Growth Est,,,,,,,,COH,,,,,,,,,,,
,,,,COH,,,,,,,Growth Est,,15.25%,,,,,,COH,,,,,,,,,,,
,,,,Industry,,,,,,,Growth Est,,N/A,,,,,,COH,,,,,,,,,,,
,,,,Sector,,,,,,,Growth Est,,N/A,,,,,,COH,,,,,,,,,,,
,,,,S&P 500,,,,,,,Growth Est,,N/A,,,,,,COH,,,,,,,,,,,
,,,,COH,,,,,,,Growth Est,,,,,,,,COH,,,,,,,,,,,1.61%
,,,,Industry,,,,,,,Growth Est,,,,,,,,COH,,,,,,,,,,,13.83%
,,,,Sector,,,,,,,Growth Est,,,,,,,,COH,,,,,,,,,,,13.56%
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,COH,,,,,,,,,,,9.74%
,,,,COH,,,,,,11.42,Growth Est,,,,,,,,COH,,,,,,,,,,,
,,,,Industry,,,,,,18.74,Growth Est,,,,,,,,COH,,,,,,,,,,,
,,,,Sector,,,,,,23.71,Growth Est,,,,,,,,COH,,,,,,,,,,,
,,,,S&P 500,,,,,,19.13,Growth Est,,,,,,,,COH,,,,,,,,,,,
,,,,COH,,,,,,,Growth Est,,,,,,,,COH,,,,,,,,7.09,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,,COH,,,,,,,,1.29,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,,COH,,,,,,,,2.68,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,COH,,,,,,,,3.81,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,16.00%,,MSFT,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,24.50%,,MSFT,,,,,,,,,,,
,,,,Current Year Jun 14,,,,,,,Revenue Est,,,,,,10.70%,,MSFT,,,,,,,,,,,
,,,,Next Year Jun 15,,,,,,,Revenue Est,,,,,,16.60%,,MSFT,,,,,,,,,,,
,,,,Jun 13,,0.75,,,,,Earnings History,,,,,,,,MSFT,,,,,,,,,,,
,,,,Sep 13,,0.54,,,,,Earnings History,,,,,,,,MSFT,,,,,,,,,,,
,,,,Dec 13,,0.68,,,,,Earnings History,,,,,,,,MSFT,,,,,,,,,,,
,,,,Mar 14,,0.63,,,,,Earnings History,,,,,,,,MSFT,,,,,,,,,,,
,,,,Jun 13,0.66,,,,,,Earnings History,,,,,,,,MSFT,,,,,,,,,,,
,,,,Sep 13,0.62,,,,,,Earnings History,,,,,,,,MSFT,,,,,,,,,,,
,,,,Dec 13,0.78,,,,,,Earnings History,,,,,,,,MSFT,,,,,,,,,,,
,,,,Mar 14,0.68,,,,,,Earnings History,,,,,,,,MSFT,,,,,,,,,,,
,,,,Jun 13,,,,,,,Earnings History,,,,,-0.09,,,MSFT,,,,,,,,,,,
,,,,Sep 13,,,,,,,Earnings History,,,,,0.08,,,MSFT,,,,,,,,,,,
,,,,Dec 13,,,,,,,Earnings History,,,,,0.10,,,MSFT,,,,,,,,,,,
,,,,Mar 14,,,,,,,Earnings History,,,,,0.05,,,MSFT,,,,,,,,,,,
,,,,Jun 13,,,-12.00%,,,,Earnings History,,,,,,,,MSFT,,,,,,,,,,,
,,,,Sep 13,,,14.80%,,,,Earnings History,,,,,,,,MSFT,,,,,,,,,,,
,,,,Dec 13,,,14.70%,,,,Earnings History,,,,,,,,MSFT,,,,,,,,,,,
,,,,Mar 14,,,7.90%,,,,Earnings History,,,,,,,,MSFT,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,0.61,,,,MSFT,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,0.64,,,,MSFT,,,,,,,,,,,
,,,,Current Year Jun 14,,,,,,,EPS Trends,,,,2.70,,,,MSFT,,,,,,,,,,,
,,,,Next Year Jun 15,,,,,,,EPS Trends,,,,2.87,,,,MSFT,,,,,,,,,,,
0.61,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,,,,,MSFT,,,,,,,,,,,
0.64,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,,,,,MSFT,,,,,,,,,,,
2.70,,,,Current Year Jun 14,,,,,,,EPS Trends,,,,,,,,MSFT,,,,,,,,,,,
2.87,,,,Next Year Jun 15,,,,,,,EPS Trends,,,,,,,,MSFT,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,0.61,,,,,MSFT,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,0.64,,,,,MSFT,,,,,,,,,,,
,,,,Current Year Jun 14,,,,,,,EPS Trends,,,2.70,,,,,MSFT,,,,,,,,,,,
,,,,Next Year Jun 15,,,,,,,EPS Trends,,,2.88,,,,,MSFT,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,,,,,MSFT,,,0.67,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,,,,,MSFT,,,0.65,,,,,,,,
,,,,Current Year Jun 14,,,,,,,EPS Trends,,,,,,,,MSFT,,,2.70,,,,,,,,
,,,,Next Year Jun 15,,,,,,,EPS Trends,,,,,,,,MSFT,,,2.90,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,,,,,MSFT,,0.67,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,,,,,MSFT,,0.65,,,,,,,,,
,,,,Current Year Jun 14,,,,,,,EPS Trends,,,,,,,,MSFT,,2.70,,,,,,,,,
,,,,Next Year Jun 15,,,,,,,EPS Trends,,,,,,,,MSFT,,2.90,,,,,,,,,
,,0,,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,,,,,,,
,,0,,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,,,,,,,
,,0,,Current Year Jun 14,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,,,,,,,
,,0,,Next Year Jun 15,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,,,0,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,,,0,,,,
,,,,Current Year Jun 14,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,,,2,,,,
,,,,Next Year Jun 15,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,,,0,,,,
,,,0,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,,,,,,,
,,,0,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,,,,,,,
,,,0,Current Year Jun 14,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,,,,,,,
,,,0,Next Year Jun 15,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,N/A,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,N/A,,,,,,
,,,,Current Year Jun 14,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,N/A,,,,,,
,,,,Next Year Jun 15,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,N/A,,,,,,
,,,,MSFT,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,,,,,-7.60%,
,,,,Industry,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,,,,,-10.00%,
,,,,Sector,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,,,,,N/A,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,,,,,12.30%,
,,,,MSFT,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,3.20%,,,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,9.40%,,,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,696.40%,,,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,16.70%,,,,,
,,,,MSFT,,,,,,,Growth Est,,,,,,,1.90%,MSFT,,,,,,,,,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,6.40%,MSFT,,,,,,,,,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,15.00%,MSFT,,,,,,,,,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,7.70%,MSFT,,,,,,,,,,,
,,,,MSFT,,,,6.30%,,,Growth Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,Industry,,,,22.10%,,,Growth Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,Sector,,,,25.00%,,,Growth Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,S&P 500,,,,12.20%,,,Growth Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,MSFT,,,,,,,Growth Est,,10.52%,,,,,,MSFT,,,,,,,,,,,
,,,,Industry,,,,,,,Growth Est,,N/A,,,,,,MSFT,,,,,,,,,,,
,,,,Sector,,,,,,,Growth Est,,N/A,,,,,,MSFT,,,,,,,,,,,
,,,,S&P 500,,,,,,,Growth Est,,N/A,,,,,,MSFT,,,,,,,,,,,
,,,,MSFT,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,,,,,,6.78%
,,,,Industry,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,,,,,,19.09%
,,,,Sector,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,,,,,,17.23%
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,,,,,,9.74%
,,,,MSFT,,,,,,15.44,Growth Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,Industry,,,,,,2.72,Growth Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,Sector,,,,,,14.61,Growth Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,S&P 500,,,,,,19.13,Growth Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,MSFT,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,,,2.28,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,,,1.10,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,,,1.30,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,,,3.81,,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,INTC,0.52,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,INTC,0.56,,,,,,,,,,
,,,,Current Year Dec 14,,,,,,,Earnings Est,,,,,,,,INTC,2.02,,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,Earnings Est,,,,,,,,INTC,2.11,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,INTC,,,,39.00,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,INTC,,,,38.00,,,,,,,
,,,,Current Year Dec 14,,,,,,,Earnings Est,,,,,,,,INTC,,,,43.00,,,,,,,
,,,,Next Year Dec 15,,,,,,,Earnings Est,,,,,,,,INTC,,,,44.00,,,,,,,
,,,,Current Qtr. Jun 14,,,,,0.45,,Earnings Est,,,,,,,,INTC,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,0.49,,Earnings Est,,,,,,,,INTC,,,,,,,,,,,
,,,,Current Year Dec 14,,,,,1.76,,Earnings Est,,,,,,,,INTC,,,,,,,,,,,
,,,,Next Year Dec 15,,,,,1.57,,Earnings Est,,,,,,,,INTC,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,INTC,,,,,,,,,0.55,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,INTC,,,,,,,,,0.62,,
,,,,Current Year Dec 14,,,,,,,Earnings Est,,,,,,,,INTC,,,,,,,,,2.21,,
