7 Days Ago,Year Ago EPS,Up Last 7 Days,Down Last 30 Days,header,EPS Actual,EPS Est,Surprise %,Next Year,Low Estimate,Price/Earnings (avg. for comparison categories),section,Year Ago Sales,Past 5 Years (per annum),30 Days Ago,Current Estimate,Difference,Sales Growth (year/est),This Year,symbol,Avg. Estimate,90 Days Ago,60 Days Ago,No. of Analysts,Down Last 90 Days,Next Qtr.,Up Last 30 Days,PEG Ratio (avg. for comparison categories),High Estimate,Current Qtr.,Next 5 Years (per annum)
,-6.10,,,Current Year Jan 15,,,,,,,Earnings Est,,,,,,,,JCP,,,,,,,,,,,
,-2.79,,,Next Year Jan 16,,,,,,,Earnings Est,,,,,,,,JCP,,,,,,,,,,,
,,,,Current Qtr. Jul 14,,,,,,,Revenue Est,,,,,,,,JCP,2.78B,,,,,,,,,,
,,,,Next Qtr. Oct 14,,,,,,,Revenue Est,,,,,,,,JCP,2.88B,,,,,,,,,,
,,,,Current Year Jan 15,,,,,,,Revenue Est,,,,,,,,JCP,12.41B,,,,,,,,,,
,,,,Next Year Jan 16,,,,,,,Revenue Est,,,,,,,,JCP,12.94B,,,,,,,,,,
,,,,Current Qtr. Jul 14,,,,,,,Revenue Est,,,,,,,,JCP,,,,23,,,,,,,
,,,,Next Qtr. Oct 14,,,,,,,Revenue Est,,,,,,,,JCP,,,,22,,,,,,,
,,,,Current Year Jan 15,,,,,,,Revenue Est,,,,,,,,JCP,,,,25,,,,,,,
,,,,Next Year Jan 16,,,,,,,Revenue Est,,,,,,,,JCP,,,,23,,,,,,,
,,,,Current Qtr. Jul 14,,,,,2.71B,,Revenue Est,,,,,,,,JCP,,,,,,,,,,,
,,,,Next Qtr. Oct 14,,,,,2.75B,,Revenue Est,,,,,,,,JCP,,,,,,,,,,,
,,,,Current Year Jan 15,,,,,12.09B,,Revenue Est,,,,,,,,JCP,,,,,,,,,,,
,,,,Next Year Jan 16,,,,,12.46B,,Revenue Est,,,,,,,,JCP,,,,,,,,,,,
,,,,Current Qtr. Jul 14,,,,,,,Revenue Est,,,,,,,,JCP,,,,,,,,,2.86B,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,COH,0.53,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,COH,0.50,,,,,,,,,,
,,,,Current Year Jun 14,,,,,,,Earnings Est,,,,,,,,COH,3.04,,,,,,,,,,
,,,,Next Year Jun 15,,,,,,,Earnings Est,,,,,,,,COH,2.19,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,COH,,,,34.00,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,COH,,,,23.00,,,,,,,
,,,,Current Year Jun 14,,,,,,,Earnings Est,,,,,,,,COH,,,,39.00,,,,,,,
,,,,Next Year Jun 15,,,,,,,Earnings Est,,,,,,,,COH,,,,39.00,,,,,,,
,,,,Current Qtr. Jun 14,,,,,0.42,,Earnings Est,,,,,,,,COH,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,0.32,,Earnings Est,,,,,,,,COH,,,,,,,,,,,
,,,,Current Year Jun 14,,,,,2.93,,Earnings Est,,,,,,,,COH,,,,,,,,,,,
,,,,Sep 13,1.18,,,,,,Earnings History,,,,,,,,AAPL,,,,,,,,,,,
,,,,Dec 13,2.07,,,,,,Earnings History,,,,,,,,AAPL,,,,,,,,,,,
,,,,Mar 14,1.66,,,,,,Earnings History,,,,,,,,AAPL,,,,,,,,,,,
,,,,Jun 13,,,,,,,Earnings History,,,,,0.02,,,AAPL,,,,,,,,,,,
